Inst;Fit;Time (sec)
1;0.7861044350794917;110.43236994743347
2;0.8996581142555191;134.60908579826355
3;0.9198183242478577;121.49834561347961
4;0.7985933768454984;285.57945466041565
5;0.8492901889738714;164.84975719451904
6;0.8695482778747655;90.72277402877808
7;0.8031884977880992;198.0326542854309
8;0.8489849226435978;239.52830743789673
9;0.863638767631209;262.7439925670624
10;0.9074072309956599;167.2662365436554
11;0.9331065232032092;211.3227367401123
12;0.9429292406672302;193.39701557159424
13;0.8700425175248034;127.0978274345398
14;0.8981638334127546;134.78621888160706
15;0.9040935876457857;131.55157256126404
16;0.8617304586016745;154.96227073669434
17;0.8780348428337192;104.03476929664612
18;0.8853605291806265;106.54140210151672
19;0.92922065740363;151.5732922554016
20;0.9440128560915862;169.96110653877258
21;0.9489619954718295;149.26282691955566
22;0.8953098529771335;205.50773668289185
23;0.9085121690832948;121.82652044296265
24;0.9086398593799355;79.28227019309998
25;0.8810989730709258;171.47536373138428
26;0.8930720336826693;137.7805814743042
27;0.9072001095032655;181.01439762115479
28;0.9101138040806751;180.2556881904602
29;0.9284093454911682;128.90592408180237
30;0.9371995639920488;126.95804071426392
31;0.8700297477026283;195.66941690444946
32;0.8662145884728253;97.42263650894165
33;0.8872363748289808;102.41500663757324
34;0.8503739892702167;82.66996169090271
35;0.8687314358722714;182.83841609954834
36;0.8732043373968617;92.78369951248169
37;0.9404239932943916;110.46429228782654
38;0.949099900512089;154.49368524551392
39;0.9509394008407324;125.23823404312134
40;0.9056889711839249;155.91445398330688
41;0.9056569244763031;120.11588740348816
42;0.9107752789412242;94.56120252609253
43;0.8888903896519581;190.71733236312866
44;0.8836987354093916;149.29169178009033
45;0.8975414296278138;194.2575662136078
46;0.9508476682122287;194.0107295513153
47;0.9536672991613377;97.83726239204407
48;0.9542205446231683;134.37147450447083
49;0.9182369427458447;171.18566918373108
50;0.9127387290887451;112.50316333770752
51;0.9139273262505914;76.74575805664062
52;0.8952544969632169;137.53576254844666
53;0.9070929556152594;228.84717559814453
54;0.9040578804421633;103.71084117889404
55;0.9279813706363292;90.35897040367126
